Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-12-01,BadgerysCreek,16.5,20.4,28.8,,,E,37.0,E,NE,15.0,13.0,99.0,93.0,1016.4,1015.7,,,18.2,20.0,Yes,Yes
2010-08-23,SydneyAirport,11.8,16.1,0.0,3.6,1.0,NNW,28.0,NNW,NE,13.0,15.0,64.0,64.0,1017.1,1010.8,7.0,7.0,13.9,14.2,No,No
2010-09-25,Bendigo,3.1,18.7,0.0,2.8,,WNW,39.0,NNW,WNW,11.0,19.0,62.0,42.0,1016.3,1014.9,5.0,4.0,12.2,18.1,No,No
2015-06-18,NorahHead,11.0,18.6,2.0,,,SW,39.0,WNW,S,7.0,20.0,79.0,85.0,1014.0,1013.0,,,14.5,16.3,Yes,Yes
2013-10-24,Sale,6.6,13.6,0.6,5.4,9.4,W,70.0,W,W,41.0,39.0,71.0,57.0,1015.4,1018.0,5.0,4.0,8.6,12.1,No,Yes
2014-07-02,Nhil,5.5,14.9,0.0,,,WNW,19.0,N,NW,7.0,9.0,90.0,61.0,1030.9,1028.0,,,7.0,14.6,No,No
2009-06-12,Walpole,8.8,14.3,3.0,,,SSW,39.0,WSW,SW,11.0,11.0,83.0,67.0,1016.6,1017.5,,,10.9,13.0,Yes,Yes
2012-11-11,NorahHead,16.0,22.1,0.0,,,SSE,33.0,SSE,SE,20.0,19.0,51.0,50.0,1028.2,1026.4,,,19.8,20.6,No,No
2010-04-19,Richmond,14.2,26.4,0.0,,,ENE,20.0,,NE,0.0,6.0,99.0,55.0,1026.7,1023.0,,,17.6,26.0,No,No
2013-05-25,Bendigo,1.9,17.3,0.2,1.4,,WSW,30.0,,WNW,0.0,15.0,99.0,53.0,1027.4,1025.2,8.0,4.0,10.1,17.1,No,No
2010-12-03,MountGinini,7.7,16.0,40.6,,,NNE,37.0,N,ENE,11.0,13.0,85.0,73.0,,,,,11.4,13.6,Yes,Yes
2009-05-24,Canberra,9.0,17.6,0.0,2.8,3.1,E,28.0,SW,NE,7.0,13.0,81.0,50.0,1028.9,1026.5,7.0,7.0,12.3,16.3,No,No
2017-03-18,AliceSprings,18.2,37.6,0.0,,,ESE,50.0,E,ESE,9.0,24.0,25.0,13.0,1015.2,1011.0,,,29.0,35.8,No,No
2010-01-30,Moree,20.2,35.4,0.0,4.8,10.1,,,,,,,52.0,26.0,1012.5,1009.3,2.0,4.0,26.9,33.2,No,No
2009-12-20,Darwin,24.3,33.3,21.8,5.2,7.2,WNW,31.0,SE,NW,11.0,22.0,72.0,61.0,1011.9,1008.1,6.0,7.0,29.4,32.3,Yes,No
2016-12-05,Brisbane,23.0,30.3,0.0,9.0,11.7,NE,31.0,NE,NE,7.0,15.0,64.0,68.0,1015.0,1011.3,2.0,3.0,28.7,28.2,No,Yes
2015-06-09,Launceston,4.9,11.4,3.4,,,W,44.0,NNW,W,7.0,17.0,72.0,60.0,,,,,7.8,9.8,Yes,No
2016-12-17,Katherine,23.6,,14.4,8.4,,ENE,35.0,NW,WNW,15.0,13.0,75.0,,1008.4,1004.6,8.0,,28.7,,Yes,
2011-08-19,Portland,11.0,16.4,8.6,0.4,2.0,S,35.0,SSE,SSE,19.0,13.0,96.0,86.0,1025.1,1026.1,8.0,7.0,13.0,15.2,Yes,No
2013-12-24,Walpole,13.2,25.2,0.0,,,WNW,76.0,WNW,SW,20.0,28.0,71.0,75.0,1009.3,1010.2,,,20.8,17.8,No,No
2013-11-20,SalmonGums,10.4,22.4,0.0,,,E,46.0,E,E,22.0,24.0,47.0,32.0,,,,,15.9,19.9,No,No
2017-06-01,Nhil,0.1,13.2,0.0,,,SE,20.0,SSE,ESE,6.0,7.0,96.0,57.0,1038.4,1036.3,,,3.9,12.3,No,No
2012-02-22,Witchcliffe,19.1,27.7,0.0,,,SSE,50.0,SSE,SSE,30.0,28.0,69.0,55.0,1013.5,1009.9,,,22.6,26.4,No,No
2009-02-24,Wollongong,20.4,25.2,0.4,,,SSE,39.0,SE,SE,19.0,22.0,62.0,76.0,1013.6,1014.5,,8.0,24.9,23.0,No,No
2010-08-26,Perth,2.3,18.5,0.0,1.6,10.4,SSW,28.0,SE,SW,2.0,4.0,70.0,41.0,1029.8,1025.3,3.0,1.0,10.7,18.5,No,No
2012-09-04,Albury,4.3,21.2,0.0,,,N,22.0,ENE,N,6.0,13.0,76.0,36.0,1023.5,1019.1,,,11.9,20.7,No,No
2013-05-08,Wollongong,12.7,20.5,0.6,,,WSW,50.0,S,NE,2.0,11.0,78.0,70.0,1031.2,1028.0,,,18.4,19.9,No,No
2011-06-10,Melbourne,9.8,16.2,2.6,0.4,5.9,SSE,35.0,SSW,S,17.0,22.0,77.0,65.0,1023.6,1024.3,6.0,,11.9,13.7,Yes,
2011-09-23,Adelaide,9.7,14.9,0.0,6.0,2.4,SW,35.0,SSE,S,13.0,9.0,40.0,47.0,1024.3,1022.8,,,14.1,13.9,No,No
2012-01-06,WaggaWagga,9.3,29.3,0.0,9.4,13.0,ENE,41.0,ENE,ESE,9.0,7.0,54.0,18.0,1014.1,1011.6,1.0,1.0,18.7,27.3,No,No
2009-09-07,Nuriootpa,8.4,14.8,2.6,8.6,6.5,W,41.0,W,SW,24.0,17.0,86.0,75.0,1009.6,1010.7,6.0,5.0,11.7,13.0,Yes,No
2013-07-10,Darwin,22.2,33.0,0.0,7.8,10.9,ESE,50.0,E,E,33.0,28.0,59.0,25.0,1013.3,1009.4,5.0,1.0,25.1,32.1,No,No
2013-12-19,PearceRAAF,18.0,31.2,0.0,,9.9,ESE,54.0,SE,SSE,22.0,15.0,48.0,27.0,1014.4,1011.4,,8.0,21.8,31.0,No,No
2013-04-26,Walpole,12.9,22.4,0.2,,,W,44.0,W,WNW,7.0,19.0,100.0,65.0,1014.4,1012.9,,,17.8,20.8,No,Yes
2008-09-14,Adelaide,10.8,17.5,,,8.2,WSW,52.0,WNW,NW,24.0,26.0,68.0,44.0,1008.3,1005.9,,,13.6,16.6,,Yes
2016-11-03,WaggaWagga,4.8,24.0,0.0,4.4,,W,33.0,E,W,7.0,20.0,70.0,29.0,1019.8,1017.0,,1.0,13.9,23.3,No,No
2009-04-25,Canberra,10.4,14.9,5.2,2.0,3.3,NNW,61.0,NNW,NW,28.0,24.0,88.0,69.0,1003.9,1002.3,7.0,7.0,12.0,12.8,Yes,Yes
2009-12-19,Ballarat,10.7,18.3,0.0,,,WSW,39.0,SSW,S,17.0,19.0,89.0,55.0,1018.8,1019.6,7.0,6.0,11.6,16.4,No,No
2017-06-04,Wollongong,12.9,17.6,,,,S,28.0,SSW,SSE,15.0,13.0,69.0,67.0,1028.2,1024.6,4.0,6.0,15.9,16.5,,
2013-05-11,Tuggeranong,1.6,22.3,0.0,,,NE,26.0,WNW,NNE,2.0,9.0,74.0,32.0,1032.1,1027.1,,,9.7,21.9,No,No
2015-04-27,Ballarat,7.4,12.6,2.2,,,SW,33.0,SSW,SSW,17.0,17.0,99.0,71.0,1023.2,1023.2,8.0,8.0,8.6,11.5,Yes,No
2012-04-05,Newcastle,17.4,26.5,0.0,,,,,NE,SE,6.0,9.0,60.0,55.0,,,1.0,1.0,23.8,24.8,No,No
2016-01-03,Brisbane,21.0,28.0,0.0,8.8,0.9,SE,24.0,S,E,2.0,11.0,64.0,55.0,1011.6,1009.5,7.0,7.0,23.8,26.4,No,Yes
2016-04-08,BadgerysCreek,16.3,22.1,0.0,,,NE,15.0,W,E,2.0,4.0,75.0,80.0,1023.4,1021.4,,,18.1,19.9,No,No
2010-11-29,Wollongong,15.6,17.0,15.0,,,SSW,56.0,SSW,SSW,22.0,26.0,94.0,96.0,1014.8,1014.7,8.0,8.0,16.1,16.5,Yes,Yes
2015-03-25,Perth,14.9,29.2,0.0,8.0,10.0,ESE,35.0,E,SE,15.0,11.0,51.0,23.0,1025.2,1021.6,7.0,1.0,19.3,28.0,No,No
2010-02-09,PearceRAAF,15.5,37.5,0.0,,12.2,W,48.0,NNE,WNW,20.0,24.0,30.0,33.0,1010.5,1011.1,1.0,1.0,32.9,32.1,No,No
2016-05-17,Albany,12.5,18.0,0.0,4.4,,,,SW,,2.0,,93.0,,1018.3,1019.1,4.0,,14.5,,No,No
2012-07-24,Portland,6.4,15.0,0.0,0.4,2.2,N,31.0,N,N,7.0,13.0,81.0,61.0,1024.5,1020.2,7.0,7.0,7.6,14.2,No,No
2015-03-30,Uluru,15.5,33.9,0.0,,,NE,41.0,ESE,ESE,15.0,20.0,44.0,17.0,1021.0,1016.6,,,20.4,32.2,No,No
2012-03-09,Townsville,24.1,30.6,2.6,1.6,1.8,NE,33.0,ESE,ENE,20.0,24.0,86.0,64.0,1011.3,1008.7,7.0,7.0,25.9,30.0,Yes,No
2009-07-18,Brisbane,8.6,21.7,0.0,4.0,9.0,NNW,19.0,SW,E,9.0,11.0,66.0,50.0,1023.3,1020.1,1.0,3.0,13.6,20.0,No,No
2011-11-24,Portland,11.5,18.2,0.0,4.4,10.2,SE,41.0,E,SE,13.0,24.0,70.0,59.0,1028.1,1025.2,8.0,3.0,13.7,17.5,No,No
2010-08-12,Hobart,8.1,14.0,62.8,1.8,5.6,SSW,69.0,SSW,SSW,20.0,15.0,75.0,62.0,1004.0,1005.9,7.0,6.0,10.5,13.0,Yes,No
2013-07-22,Richmond,0.9,17.3,0.0,7.0,,W,56.0,,W,0.0,31.0,87.0,28.0,1019.7,1017.0,,,8.0,16.6,No,No
2014-08-26,Cobar,7.3,18.9,0.4,4.4,,,,,,,,,,,,2.0,3.0,11.2,17.8,No,No
2015-11-18,Witchcliffe,11.6,20.0,3.6,,,WNW,52.0,W,W,24.0,22.0,65.0,45.0,1013.4,1014.7,,,15.3,17.8,Yes,Yes
2014-06-18,Canberra,-1.6,12.9,0.2,,,NW,17.0,,WNW,0.0,11.0,99.0,66.0,1032.9,1029.7,8.0,,0.7,12.0,No,No
2015-01-26,Walpole,11.5,25.3,0.0,,,SE,46.0,E,SE,17.0,28.0,53.0,53.0,1018.7,1013.9,,,19.8,24.5,No,No
2011-05-26,Albury,1.3,14.9,0.0,,,WSW,26.0,,WSW,0.0,20.0,75.0,52.0,1020.5,1018.6,,,6.6,13.6,No,No
2012-04-20,Tuggeranong,9.9,19.6,28.0,,,NW,17.0,N,W,4.0,4.0,100.0,76.0,1017.2,1015.1,,,13.6,19.1,Yes,No
2015-08-09,Moree,1.1,18.1,0.0,,,N,30.0,NE,N,15.0,15.0,67.0,39.0,1023.7,1019.4,,,10.4,17.4,No,No
2015-12-20,Penrith,16.6,39.9,0.0,,,N,43.0,N,N,4.0,20.0,54.0,16.0,,,,,23.8,39.4,No,No
2009-12-14,Perth,15.4,28.5,0.0,10.8,12.8,SW,35.0,NNE,WSW,2.0,17.0,45.0,37.0,1008.7,1009.5,4.0,2.0,27.0,28.0,No,No
2010-05-12,MountGinini,-4.8,5.5,0.0,,,SW,50.0,SSW,SSW,26.0,13.0,86.0,56.0,,,,,-2.5,4.5,No,No
2014-12-23,Launceston,16.8,23.5,0.0,,,NW,43.0,NNE,N,2.0,17.0,82.0,70.0,,,7.0,8.0,18.1,22.9,No,Yes
2009-09-17,Perth,11.0,19.5,0.4,1.8,4.2,WNW,50.0,N,NW,11.0,20.0,69.0,49.0,1018.5,1014.5,6.0,5.0,14.7,18.5,No,Yes
2013-04-10,Portland,5.8,20.1,0.0,3.4,9.5,WSW,24.0,,W,0.0,15.0,99.0,74.0,1023.9,1021.8,,2.0,14.0,18.1,No,No
2013-11-28,Adelaide,17.3,19.4,0.0,9.0,0.2,SW,39.0,SSW,SW,20.0,9.0,63.0,69.0,1011.1,1012.2,,,18.6,18.2,No,Yes
2015-03-10,Portland,7.7,19.6,0.8,3.8,9.2,W,33.0,N,WSW,9.0,17.0,66.0,49.0,1019.1,1017.7,7.0,,14.2,18.7,No,No
2014-06-25,Cairns,14.6,26.9,0.0,3.0,10.5,ESE,31.0,S,SE,11.0,24.0,66.0,46.0,1018.9,1016.5,1.0,1.0,21.2,26.0,No,No
2013-10-26,Sale,8.7,16.9,0.2,6.0,,W,65.0,WNW,WSW,13.0,41.0,79.0,63.0,1020.9,1021.8,6.0,3.0,9.4,15.5,No,No
2011-12-21,Portland,11.5,19.2,0.0,5.6,9.9,SE,31.0,SE,S,17.0,17.0,62.0,73.0,1020.6,1019.1,7.0,7.0,15.1,17.8,No,No
2009-12-18,Albury,12.2,26.4,3.0,,,W,41.0,NW,W,11.0,17.0,60.0,19.0,1015.0,1014.1,,,16.0,24.9,Yes,No
2014-07-06,MelbourneAirport,9.1,13.2,0.0,1.6,2.1,W,39.0,W,WSW,24.0,28.0,79.0,71.0,1014.9,1014.4,7.0,7.0,9.7,12.1,No,No
2014-08-17,NorahHead,13.6,19.8,31.4,,,NNE,54.0,NW,W,9.0,6.0,97.0,48.0,1009.5,1004.3,,,14.9,19.6,Yes,No
2016-03-03,Woomera,21.4,37.6,0.0,18.8,11.7,SSE,43.0,SSE,WSW,24.0,20.0,59.0,22.0,1017.3,1014.5,1.0,0.0,23.1,36.3,No,No
2014-11-13,Melbourne,13.3,31.3,0.0,5.8,9.8,N,61.0,ESE,NE,6.0,15.0,63.0,23.0,1014.6,1009.4,,,18.9,30.6,No,No
2010-03-26,Walpole,15.2,19.9,0.0,,,E,39.0,ESE,E,15.0,19.0,81.0,79.0,1019.2,1014.8,,,17.6,19.1,No,No
2010-03-06,Perth,14.7,29.5,0.0,7.4,11.4,SE,33.0,E,SE,11.0,19.0,48.0,31.0,1024.7,1020.9,1.0,1.0,19.6,28.4,No,No
2009-11-30,Woomera,13.3,25.3,0.0,12.0,11.9,SSW,46.0,SSE,SSW,22.0,24.0,56.0,34.0,1017.7,1015.0,4.0,6.0,17.2,23.8,No,No
2011-01-28,Mildura,15.4,30.8,0.0,9.6,12.9,SE,30.0,SE,SE,19.0,11.0,61.0,30.0,1021.0,1018.7,2.0,2.0,19.9,28.4,No,No
2014-09-15,Townsville,15.3,27.9,0.0,7.8,10.7,ENE,43.0,ESE,ENE,19.0,31.0,56.0,59.0,1017.9,1014.1,1.0,1.0,23.7,25.8,No,No
2016-06-23,Walpole,8.2,14.4,11.4,,,SW,35.0,SW,SSW,9.0,9.0,74.0,72.0,1019.5,1019.5,,,10.5,12.2,Yes,No
2016-11-11,PearceRAAF,7.5,22.6,1.0,,10.0,SW,44.0,SSW,WSW,20.0,26.0,65.0,45.0,1015.9,1015.9,8.0,3.0,17.1,20.2,No,No
2008-12-24,Perth,15.1,27.1,0.0,8.0,12.2,SSW,43.0,ESE,SW,11.0,22.0,52.0,48.0,1013.2,1010.7,4.0,3.0,20.7,25.2,No,No
2008-09-25,Canberra,3.2,18.7,0.0,2.6,11.1,N,31.0,E,NNW,4.0,13.0,70.0,32.0,1032.2,1026.9,1.0,1.0,11.0,18.1,No,No
2009-07-03,Bendigo,6.4,12.5,11.4,1.1,,WSW,48.0,WSW,SSW,17.0,22.0,78.0,54.0,1010.9,1013.0,8.0,5.0,8.2,12.0,Yes,Yes
2013-07-28,Portland,9.5,14.7,7.0,1.8,3.2,NNW,52.0,NNE,NNE,20.0,30.0,85.0,78.0,1013.6,1008.2,,,11.2,13.8,Yes,Yes
2015-07-24,AliceSprings,12.6,20.3,0.0,7.6,1.1,SSW,41.0,SW,SSW,4.0,13.0,42.0,61.0,1022.3,1020.3,7.0,7.0,15.8,17.7,No,No
2013-09-11,GoldCoast,16.2,31.4,0.0,,,NW,44.0,NW,NE,28.0,17.0,49.0,50.0,1012.6,1008.2,,,24.1,26.8,No,No
2010-09-06,Williamtown,9.4,20.8,0.0,7.4,9.9,WNW,46.0,WNW,WNW,24.0,20.0,57.0,31.0,1019.9,1017.9,1.0,4.0,15.1,18.9,No,No
2014-06-10,Townsville,16.6,24.1,31.8,2.0,1.2,SSE,39.0,ENE,SE,2.0,17.0,92.0,66.0,1015.2,1012.0,7.0,7.0,18.4,23.4,Yes,No
2014-09-23,Adelaide,16.7,26.8,0.0,5.4,,N,44.0,N,NNE,19.0,20.0,42.0,27.0,1021.0,1015.9,,,21.3,25.9,No,Yes
2014-12-30,Katherine,22.2,33.5,46.6,,,ENE,48.0,E,ENE,11.0,11.0,86.0,92.0,1009.3,1004.5,6.0,5.0,26.6,33.0,Yes,Yes
2014-01-09,Townsville,24.8,32.0,9.2,8.2,4.4,NE,41.0,SE,ENE,22.0,22.0,68.0,59.0,1011.5,1009.4,5.0,6.0,29.4,30.6,Yes,Yes
2014-08-31,SalmonGums,10.3,16.5,3.0,,,SSW,30.0,SSW,SSW,9.0,20.0,92.0,61.0,,,,,11.2,15.2,Yes,Yes
2015-07-05,Wollongong,8.3,17.6,0.0,,,WSW,28.0,WNW,NE,4.0,15.0,55.0,50.0,1021.3,1017.6,,,12.8,17.0,No,No
2016-08-11,Canberra,4.6,12.9,0.0,,,NNW,44.0,NW,NNW,15.0,31.0,58.0,48.0,1018.9,1018.8,,,9.1,12.1,No,No
2014-08-09,Dartmoor,4.6,15.6,0.0,2.2,0.8,NNW,26.0,N,NNW,11.0,11.0,99.0,73.0,1025.5,1021.8,,,8.9,14.2,No,Yes
2010-05-07,CoffsHarbour,8.2,22.1,0.0,3.2,10.3,SW,33.0,WSW,S,17.0,17.0,58.0,51.0,1020.7,1017.8,2.0,1.0,17.4,21.5,No,No
2009-06-15,Ballarat,0.9,13.8,0.2,,,SE,28.0,ESE,SE,13.0,13.0,94.0,64.0,1014.0,1014.9,2.0,,7.7,12.4,No,No
2012-06-20,Albury,-1.3,11.7,0.0,,,NE,20.0,,NE,0.0,13.0,100.0,64.0,1023.5,1018.8,8.0,7.0,3.0,11.4,No,No
2013-08-12,Witchcliffe,12.0,16.9,4.4,,,WNW,50.0,W,WNW,17.0,20.0,65.0,73.0,1017.1,1015.4,,,14.1,14.5,Yes,Yes
2012-04-29,PearceRAAF,17.1,24.2,,,8.7,WNW,48.0,NNW,W,17.0,31.0,92.0,61.0,1011.0,1009.9,,6.0,20.1,22.7,,Yes
2015-03-23,Launceston,12.6,19.2,2.8,,,SSE,44.0,N,NW,6.0,11.0,96.0,85.0,,,8.0,8.0,16.4,18.9,Yes,Yes
2010-09-11,Mildura,4.5,15.4,0.0,4.2,1.3,WNW,17.0,W,NW,9.0,9.0,91.0,55.0,1021.8,1020.5,7.0,8.0,9.7,15.1,No,No
2013-01-29,MelbourneAirport,13.6,20.3,8.6,9.0,5.7,S,48.0,S,S,22.0,30.0,56.0,40.0,1013.2,1012.4,7.0,7.0,14.9,18.4,Yes,No
2013-10-05,PearceRAAF,10.9,23.4,,,7.8,W,50.0,NNW,NW,22.0,28.0,78.0,70.0,1016.1,1014.0,,,19.2,20.6,,
2010-04-29,MountGinini,0.7,8.6,0.0,,,,,SW,WSW,39.0,30.0,98.0,77.0,,,,,3.8,7.3,No,
2016-08-03,Ballarat,5.8,10.0,0.4,,,S,39.0,S,S,20.0,26.0,99.0,93.0,1026.9,1026.8,7.0,8.0,6.7,8.1,No,Yes
2016-10-10,Watsonia,12.3,17.1,0.2,5.6,5.9,W,61.0,NNW,WSW,17.0,20.0,65.0,52.0,1008.5,1008.7,7.0,2.0,12.9,13.9,No,Yes
2014-03-22,PerthAirport,18.7,31.7,0.0,8.2,9.4,E,70.0,E,E,22.0,33.0,50.0,33.0,1015.4,1013.6,7.0,8.0,23.9,31.3,No,No
2013-08-11,SydneyAirport,8.8,22.3,0.0,3.8,10.4,WNW,33.0,W,SE,17.0,13.0,50.0,19.0,1018.1,1013.4,1.0,1.0,14.6,20.9,No,No
2013-01-21,Richmond,19.4,30.0,0.2,16.4,,NE,31.0,,NE,0.0,17.0,85.0,56.0,1016.0,1012.7,,,21.7,28.5,No,No
2012-09-13,Penrith,6.9,22.8,0.2,,,S,44.0,SSE,SSE,4.0,17.0,64.0,68.0,,,,,14.9,17.2,No,No
2013-08-18,BadgerysCreek,5.9,21.9,0.0,,,NW,44.0,N,NW,11.0,22.0,54.0,28.0,1016.9,1011.6,,,14.5,21.4,No,No
2013-12-11,Ballarat,6.3,18.6,0.2,,,W,59.0,NW,WSW,30.0,33.0,79.0,51.0,1008.7,1009.6,8.0,4.0,11.7,17.4,No,Yes
2010-04-27,Nuriootpa,12.6,17.9,7.2,2.6,3.5,WSW,33.0,,WSW,0.0,19.0,96.0,54.0,1021.3,1020.1,7.0,7.0,13.2,17.2,Yes,No
2010-03-13,AliceSprings,18.4,28.7,0.0,6.8,3.0,E,37.0,E,E,9.0,20.0,58.0,40.0,1020.7,1016.8,7.0,7.0,21.9,28.7,No,No
2014-04-17,Ballarat,5.8,21.3,0.0,,,NNW,30.0,N,NNW,9.0,19.0,68.0,38.0,1021.3,1019.0,,,14.8,21.0,No,No
2015-08-10,NorahHead,9.3,20.6,0.0,,,N,31.0,NW,NW,7.0,13.0,64.0,40.0,1018.3,1013.3,,,14.5,19.8,No,No
2013-09-05,WaggaWagga,12.0,23.3,0.0,2.2,3.1,NE,22.0,ESE,NNE,11.0,15.0,76.0,51.0,1028.9,1024.8,7.0,7.0,15.4,22.9,No,No
2011-10-19,Adelaide,18.7,34.5,0.0,7.4,11.4,NNW,54.0,NNE,NW,13.0,20.0,27.0,11.0,1019.5,1016.4,,,27.3,33.7,No,No
2012-06-21,MelbourneAirport,5.9,9.8,6.8,2.8,0.0,N,56.0,N,N,24.0,28.0,93.0,88.0,1008.1,1002.0,8.0,8.0,8.6,8.8,Yes,Yes
2015-03-14,Richmond,12.0,26.5,0.0,,,E,26.0,NNW,NNE,4.0,13.0,94.0,45.0,1019.1,1014.0,8.0,,16.6,25.2,No,No
2012-02-07,CoffsHarbour,22.6,27.5,1.4,4.2,7.5,S,41.0,SW,SSW,11.0,19.0,77.0,75.0,1004.5,1005.6,5.0,4.0,25.6,26.8,Yes,Yes
